BIO511,Cell Biology and Biochecmistry,Sriram K ,4,CCB,UG/PG(M.Tech CB Ist Year Core)
BIO522,Algorithms in Computation Biology,Debarka Sengupta,4,ACB,UG/PG(M.Tech CB Ist Year Core)
BIO542,Machine Learning for Biomedical Applications(New),GPS Raghava,4,MLBA,UG/PG
BIO532,Network Biology,Ganesh Bagler,4,NB,UG/PG
BIO562,Stochastic Simulation and Systems Biology,Subhadip Raychaudhari,4,SSSB,UG/PG
BIO512,Foundations of Modern Biology,Vibhor Kumar,4,FOMB,UG/PG(M.Tech CB Ist Year Core)
CSE319/CSE519,Modern Algorithm Design,Rajiv Raman,4,MAD,UG/PG+M.Tech(CB)
CSE333/CSE533,Computer Graphics,Ojaswa Sharma,4,CG,UG/PG+M.Tech(CB)
CSE340/CSE540/ ECE350,Image Analysis/Digital Image Processing,A V Subramanyam,4,IA,UG/PG+M.Tech(CB)
CSE343/CSE543,Machine Learning,Saket Anand+Anubha Gupta,4,ML,UG/PG+M.Tech(CB)
CSE345/CSE545,Foundations of Computer Security,Arun Balaji,4,FCS,UG/PG
CSE503,Program Analysis,Rahul Purandare,4,PA,UG/PG
CSE511/ECE511,Computer Architecture,Sujay Deb,4,CA,UG/PG
CSE525,Introduction to Graduate Algorithms,Debajyoti Bera,4,GA,PG
CSE546,Applied Cryptography,Donghoon Chang,4,AC,UG/PG
CSE5xx,Advanced Computer Vision(New),Chetan Arora,4,ACV,UG/PG
CSE5xx,Natural Language Processing(New),Tanmoy Chakraborty,4,NLP,UG/PG
CSE5xx,Internet of Things(New),Juhi Ranjan,4,IOT,UG/PG
CSE600A/ECE600A,Object Oriented Programming and Design,Chetan Arora,2,OOPD,M.Tech Core
CSE636/ECE636,Communication Networks,Sanjit K Kaul,4,COMN,UG/PG
CSE640,Collaborative Filtering,Angshul Majumdar ,4,CF,UG/PG
CSE642,Advaced PRML,Richa Singh,4,APRML,UG/PG
CSE643,Artifical Intelligence,Mayank Vatsa ,4,AI,UG/PG
CSE648,Privacy and Security in Online Social Media,Ponnurangam Kumaraguru,4,PSOSM,UG/PG
DES303,Non Linear Editing,Manohar Khushalani (V),4,NLE,UG
DES5xx,"Wearable Applications, Research, Devices, Interactions(New)",Aman Parnami,4,WARDI,UG/PG
DES5xx,Design Perspectives and Processes(New),Indrani De Parker,4,DPP,UG/PG
ECE314/514,Digital VLSI Design,Sujay Deb,4,DVD,UG/PG
ECE315/ECE515,Analog CMOS Circuit Design,Sumit Mediratta(V),4,CMOS,UG/PG
ECE340,Digital Communication Systems,Vivek Bohara,4,DCS,UG-ECE-3rd Yr-Core Elective
ECE351,Digital Signal Processing,A V Subramanyam,4,DSP,UG-ECE-3rd Yr-Core Elective
ECE431/ECE631,Antenna Theory & Design,Shobha Sundar Ram,4,ATD,UG/PG
ECE454/ECE554,Compressive Sensing,Angshul Majumdar ,4,CS,UG/PG
ECE501,Probability & Random Process,Pravesh Biyani,4,PRP,UG/PG
ECE513,VLSI Design Flow,Sneh Saurabh,4,VDF,UG/PG
ECE538/CSE538,Wireless Networks,Mukulika Maity,4,WN,UG/PG
ECE543,Principals of Digital Communication System,Anand Srivastava,4,PDCS,UG/PG
ECE5xx,Principles of Gloabal Positioning System(New-2 Cr),Sanat K Biswas,4,PGPS,UG/PG
ECO302,Applied Econometric Analysis,Gaurav Arora,4,AEA,UG
ECO311,Game Theory,Rakesh Chaturvedi,4,GMT,UG
ENT401,Entrepreneurship I,Hemant Kumar (V),2,ENT-I,UG
FIN401,Foundations of Finance,Pankaj Vajpayee(V),4,FF,UG
HSS202,Perspectives of Knowledge,Raj Ayyar (V),4,PoK,UG
HSS204,Introduction to Psychology,Akshay Kumar (V),4,Psy,UG
HSS208,Theory & Practice of Engineering Ethics,Raj Ayyar (V),4,TPEE,UG
HSS211,Theatre Apperciation,Manohar Khushalani (V),4,TA,UG
HSS2ES,Key Concepts in Economic Sociology,Amrit Srinivasan(V),4,ES,UG
HSS2xx,Introduction to Digital Ethnography(New),Shriram Venkatraman,4,IDE,UG
HSS2xx,Introduction to Media In Society: A Public Sphere Approach,Aasim Khan,4,IMS,UG
HSS223A,Inroduction to Poetry,Saumya Kulshreshtha(G),2,PO ,UG
HSS2xx,Introdcution to Social Informatics(New),Venkata Ratandeep Suri,4,ISI,UG
MTH510,Advanced Linear Algebra,Samrith Ram,4,ALA,UG/PG